Label                   ,Count ,Percentage
AllocationRatio         ,   79 , 0.4069647751748562
DoseValue               ,  103 , 0.5305996164679527
ConclusionComment       , 3469 ,17.87038892507553
Title                   , 2447 ,12.605604529380798
MinAge                  ,   14 , 0.07212033960968256
PvalueDiff              ,  986 , 5.0793323665857315
AvgAge                  ,   54 , 0.27817843947559595
Drug                    ,    3 , 0.015454358072020113
NumberPatientsCT        ,   78 , 0.40181330405175686
Author                  , 1406 , 7.242942601442337
CTDesign                ,   40 , 0.2060580998659134
Frequency               ,  225 , 1.1590768583118916
PMID                    ,   87 , 0.4481764044612646
SdDevChangeValue        ,  111 , 0.5718112457543612
RelativeChangeValue     ,    1 , 0.005151452569407411
SdDevBL                 ,  103 , 0.5305996164679527
Journal                 ,  285 , 1.4681640081107616
FinalNumPatientsArm     ,   15 , 0.07727179327048361
SdDevResValue           ,  201 , 1.035442017018795
ObservedResult          ,  724 , 3.7296518683433533
ConfIntervalChangeValue ,  155 , 0.7984751835465431
Country                 ,   10 , 0.05151452496647835
PublicationYear         ,   87 , 0.4481764044612646
DiffGroupAbsValue       ,  368 , 1.8957346677780151
ConfIntervalDiff        ,  824 , 4.244796931743622
PercentageAffected      ,  527 , 2.7148155495524406
PValueChangeValue       ,  242 , 1.246651541441679
SubGroupDescription     ,  132 , 0.6799917668104172
ObjectiveDescription    , 3498 ,18.01978200674057
AggregationMethod       ,    9 , 0.04636307421606034
ResultMeasuredValue     ,  464 , 2.3902740329504013
TimePoint               ,  173 , 0.8912012912333012
NumberAffected          ,   46 , 0.2369668334722519
NumberPatientsArm       ,   96 , 0.49453945830464363
DoseDescription         ,  251 , 1.2930146418511868
Precondition            , 2099 ,10.812899470329285
